Date,Close/Last,Volume,Open,High,Low
03/11/2026,$404.88,25512140,$405.57,$409.01,$401.59
03/10/2026,$405.76,31706380,$410.03,$410.20,$402.93
03/09/2026,$409.41,30131850,$404.915,$410.21,$403.50
03/06/2026,$408.96,31123860,$409.20,$413.05,$408.5101
03/05/2026,$410.68,39001320,$404.42,$411.61,$404.40
03/04/2026,$405.20,35807990,$401.265,$411.0326,$400.31
03/03/2026,$403.93,38199210,$393.14,$406.70,$392.67
03/02/2026,$398.55,35474910,$392.855,$401.19,$390.63
02/27/2026,$392.74,51367200,$390.88,$396.82,$389.88
02/26/2026,$401.72,34405870,$404.71,$407.49,$398.74
02/25/2026,$400.60,43625480,$390.525,$401.47,$390.16
02/24/2026,$389.00,33884650,$384.14,$389.36,$381.71
02/23/2026,$384.47,43238270,$395.00,$395.36,$383.10
02/20/2026,$397.23,34015250,$396.11,$400.1159,$395.16
02/19/2026,$398.46,28234000,$400.69,$404.43,$396.67
02/18/2026,$399.60,23223420,$398.13,$402.56,$396.32
02/17/2026,$396.86,32078790,$399.22,$400.52,$394.525
02/13/2026,$401.32,34091550,$404.45,$405.54,$398.05
02/12/2026,$401.84,40802360,$405.00,$406.20,$398.01
02/11/2026,$404.37,42491010,$416.175,$416.46,$401.01
02/10/2026,$413.27,44857850,$419.62,$423.68,$412.70
02/09/2026,$413.60,45480530,$404.85,$414.89,$400.87
02/06/2026,$401.14,53515310,$399.165,$401.79,$392.92
02/05/2026,$393.67,66289250,$407.44,$408.30,$392.32
02/04/2026,$414.19,45012370,$411.00,$419.80,$409.24
02/03/2026,$411.21,61424120,$422.01,$422.05,$408.56
02/02/2026,$423.37,42219860,$430.235,$430.736,$422.25
01/30/2026,$430.29,58566820,$439.17,$439.60,$426.45
01/29/2026,$433.50,128855300,$439.99,$442.50,$421.02
01/28/2026,$481.63,36875400,$483.21,$483.74,$478.00
01/27/2026,$480.58,29213920,$473.70,$482.87,$473.16
01/26/2026,$470.28,29291240,$465.305,$474.25,$462.00
01/23/2026,$465.95,38000160,$451.87,$471.10,$450.53
01/22/2026,$451.14,25349380,$447.62,$452.84,$444.70
01/21/2026,$444.11,37980510,$452.595,$452.69,$438.68
01/20/2026,$454.52,26129990,$451.215,$456.80,$449.28
01/16/2026,$459.86,34246650,$457.83,$463.19,$456.48
01/15/2026,$456.66,23225840,$464.12,$464.25,$455.90
01/14/2026,$459.38,28184300,$466.46,$468.20,$457.1701
01/13/2026,$470.67,28545800,$474.675,$475.7799,$465.95
01/12/2026,$477.18,23519900,$476.67,$480.99,$475.6803
01/09/2026,$479.28,18491040,$474.06,$479.82,$472.2001
01/08/2026,$478.11,18162620,$481.24,$482.66,$475.86
01/07/2026,$483.47,25564200,$479.755,$489.70,$477.95
01/06/2026,$478.51,23037670,$473.80,$478.7367,$469.75
01/05/2026,$472.85,25250260,$474.055,$476.07,$469.50
01/02/2026,$472.94,25571570,$484.385,$484.66,$470.16
12/31/2025,$483.62,15601550,$487.84,$488.14,$483.30
12/30/2025,$487.48,13944510,$485.93,$489.68,$485.50
12/29/2025,$487.10,10893410,$484.855,$488.35,$484.18
12/26/2025,$487.71,8842175,$486.705,$488.12,$485.96
12/24/2025,$488.02,5855880,$485.68,$489.1625,$484.83
12/23/2025,$486.85,14683580,$484.98,$487.83,$484.74
12/22/2025,$484.92,16963020,$486.12,$488.73,$482.69
12/19/2025,$485.92,70836110,$487.36,$487.85,$482.49
12/18/2025,$483.98,28573550,$478.19,$489.60,$477.89
12/17/2025,$476.12,24527180,$476.905,$480.00,$475.00
12/16/2025,$476.39,20705560,$471.905,$477.89,$470.88
12/15/2025,$474.82,23727690,$480.10,$480.7205,$472.52
12/12/2025,$478.53,21248100,$479.82,$482.45,$476.34
12/11/2025,$483.47,24669180,$476.63,$486.03,$475.86
12/10/2025,$478.56,35756230,$484.03,$484.25,$475.08
12/09/2025,$492.02,14696080,$489.10,$492.12,$488.5001
12/08/2025,$491.02,21965900,$484.885,$492.30,$484.38
12/05/2025,$483.16,22608710,$482.515,$483.40,$478.8801
12/04/2025,$480.84,22318160,$479.76,$481.322,$476.49
12/03/2025,$477.73,34615100,$476.32,$484.24,$475.20
12/02/2025,$490.00,19562720,$486.715,$493.4999,$486.32
12/01/2025,$486.74,23963990,$488.435,$489.8599,$484.6475
11/28/2025,$492.01,14386730,$487.595,$492.63,$486.65
11/26/2025,$485.50,25709080,$486.31,$488.31,$481.20
11/25/2025,$476.99,28019790,$474.07,$479.15,$464.89
11/24/2025,$474.00,34421050,$475.00,$476.90,$468.02
11/21/2025,$472.12,31769250,$478.50,$478.92,$468.27
11/20/2025,$478.43,26802540,$492.71,$493.57,$475.50
11/19/2025,$487.12,23245310,$490.10,$495.1872,$482.83
11/18/2025,$493.79,33815110,$495.365,$502.98,$486.78
11/17/2025,$507.49,19092750,$508.45,$512.12,$504.91
11/14/2025,$510.18,28505750,$498.23,$511.60,$497.44
11/13/2025,$503.29,25273110,$510.31,$513.50,$501.29
11/12/2025,$511.14,26574850,$509.355,$511.67,$499.1201
11/11/2025,$508.68,17980020,$504.80,$509.60,$502.3488
11/10/2025,$506.00,26101480,$500.035,$506.85,$498.80
11/07/2025,$496.82,24019760,$496.945,$499.377,$493.25
11/06/2025,$497.10,27406500,$505.66,$505.70,$495.81
